ID;Name;ChallengeRating;ChallengeXP;ACType;AC;STR;STRMod;DEX;DEXMod;CON;CONMod;INT;INTMod;WIS;WISMod;CHA;CHAMod;HPDice;HP
1;Adult Red Dragon;17;18000;natural armor;19;27;8;10;0;25;7;16;3;13;1;21;5;19d12 + 133;256
2;Stone Golem;10;5900;natural armor;17;22;6;9;-1;20;5;3;-4;11;0;1;-5;17d10 + 85;178
3;Fire Giant;9;5000;plate;18;25;7;9;-1;23;6;10;0;14;2;13;1;13d12 + 78;162
4;Hydra;8;3900;natural armor;15;20;5;12;1;20;5;2;-4;10;0;7;-2;15d12 + 75;172
5;Frost Giant;8;3900;patchwork armor;15;23;6;9;-1;21;5;9;-1;10;0;12;1;12d12 + 60;138
6;Young Green Dragon;8;3900;natural armor;18;19;4;12;1;17;3;16;3;13;1;15;2;16d10 + 48;136
7;Tyrannosaurus Rex;8;3900;natural armor;13;25;7;10;0;19;4;2;-4;12;1;9;-1;13d12 + 52;136
8;Giant Ape;7;2900;;12;23;6;14;2;18;4;7;-2;12;1;7;-2;15d12 + 60;157
9;Cyclops;6;2300;natural armor;14;22;6;11;0;20;5;8;-1;6;-2;10;0;12d12 + 60;138
10;Medusa;6;2300;natural armor;15;10;0;15;2;16;3;12;1;13;1;15;2;17d8 + 51;127
11;Mammoth;6;2300;natural armor;13;24;7;9;-1;21;5;3;-4;11;0;6;-2;11d12 + 55;126
12;Chimera;6;2300;natural armor;14;19;4;11;0;19;4;3;-4;14;2;10;0;12d10 + 48;114
13;Wyvern;6;2300;natural armor;13;19;4;10;0;16;3;5;-3;12;1;6;-2;13d10 + 39;110
14;Earth Elemental;5;1800;natural armor;17;20;5;8;-1;20;5;5;-3;10;0;5;-3;12d10 + 60;126
15;Giant Shark;5;1800;natural armor;13;23;6;11;0;21;5;1;-5;10;0;5;-3;11d12 + 55;126
16;Water Elemental;5;1800;natural armor;14;18;4;14;2;18;4;5;-3;10;0;8;-1;12d10 + 48;114
17;Hill Giant;5;1800;natural armor;13;21;5;8;-1;19;4;5;-3;9;-1;6;-2;10d12 + 40;105
18;Fire Elemental;5;1800;;13;10;0;17;3;16;3;6;-2;10;0;7;-2;12d10 + 36;102
19;Triceratops;5;1800;natural armor;13;22;6;9;-1;17;3;2;-4;11;0;5;-3;10d12 + 30;95
20;Flesh Golem;5;1800;;9;19;4;9;-1;18;4;6;-2;10;0;5;-3;11d8 + 44;93
21;Air Elemental;5;1800;;15;14;2;20;5;14;2;6;-2;10;0;6;-2;12d10 + 24;90
22;Giant Crocodile;5;1800;natural armor;14;21;5;9;-1;17;3;2;-4;10;0;7;-2;9d12 + 27;85
23;Troll;5;1800;natural armor;15;18;4;13;1;20;5;7;-2;9;-1;7;-2;8d10 + 40;84
24;Elephant;4;1100;natural armor;12;22;6;9;-1;17;3;3;-4;11;0;6;-2;8d12 + 24;76
25;Banshee;4;1100;;12;1;-5;14;2;10;0;12;1;11;0;17;3;13d8;58
